"avg_mon_perc","subbasin","gcm_id","calendar_month"
21.5931,1,11,1
25.1928,1,11,2
25.5927,1,11,3
20.0078,1,11,4
13.0589,1,11,5
8.1261,1,11,6
2.35534,1,11,7
1.36037,1,11,8
2.7117,1,11,9
6.47099,1,11,10
15.0262,1,11,11
20.213,1,11,12
34.4025,2,11,1
36.277,2,11,2
38.4786,2,11,3
28.7729,2,11,4
23.7778,2,11,5
10.7332,2,11,6
5.57544,2,11,7
2.41373,2,11,8
2.86028,2,11,9
5.5613,2,11,10
12.7537,2,11,11
26.1125,2,11,12
35.8386,3,11,1
37.4355,3,11,2
40.7176,3,11,3
30.9375,3,11,4
25.1301,3,11,5
11.0731,3,11,6
6.15398,3,11,7
2.99829,3,11,8
3.24515,3,11,9
5.176,3,11,10
13.1926,3,11,11
27.0826,3,11,12
44.7097,4,11,1
46.4517,4,11,2
48.8062,4,11,3
35.9822,4,11,4
30.4215,4,11,5
13.0951,4,11,6
7.1126,4,11,7
3.28093,4,11,8
5.46325,4,11,9
9.26037,4,11,10
23.2362,4,11,11
36.4015,4,11,12
8.74169,5,11,1
12.6574,5,11,2
15.6644,5,11,3
12.646,5,11,4
8.64231,5,11,5
4.62234,5,11,6
2.41312,5,11,7
1.56156,5,11,8
1.07321,5,11,9
1.52127,5,11,10
2.7259,5,11,11
6.89117,5,11,12
33.7514,6,11,1
39.6601,6,11,2
44.6404,6,11,3
33.8501,6,11,4
25.3525,6,11,5
14.4918,6,11,6
5.9229,6,11,7
4.81962,6,11,8
5.16772,6,11,9
6.38305,6,11,10
15.6945,6,11,11
27.7354,6,11,12
10.9621,7,11,1
13.5106,7,11,2
15.1673,7,11,3
11.8321,7,11,4
7.77714,7,11,5
5.00589,7,11,6
2.08257,7,11,7
1.13875,7,11,8
1.54844,7,11,9
3.02249,7,11,10
6.37178,7,11,11
9.97587,7,11,12
18.1759,8,11,1
22.5454,8,11,2
22.5617,8,11,3
16.7768,8,11,4
12.714,8,11,5
7.20066,8,11,6
3.16852,8,11,7
1.66325,8,11,8
1.94738,8,11,9
1.8841,8,11,10
6.54539,8,11,11
12.4831,8,11,12
33.273,9,11,1
36.7056,9,11,2
42.9652,9,11,3
32.5551,9,11,4
24.7697,9,11,5
14.058,9,11,6
5.82278,9,11,7
2.99244,9,11,8
4.79908,9,11,9
6.51582,9,11,10
17.3903,9,11,11
27.4413,9,11,12
36.9659,10,11,1
41.7173,10,11,2
45.2671,10,11,3
35.0545,10,11,4
27.6804,10,11,5
14.5557,10,11,6
6.66533,10,11,7
3.14034,10,11,8
5.02744,10,11,9
6.32356,10,11,10
16.4538,10,11,11
30.5058,10,11,12
29.499,11,11,1
33.2936,11,11,2
36.9348,11,11,3
28.5156,11,11,4
21.656,11,11,5
12.3558,11,11,6
5.25847,11,11,7
3.06925,11,11,8
5.88436,11,11,9
7.95904,11,11,10
16.7464,11,11,11
25.5506,11,11,12
36.6894,12,11,1
40.4055,12,11,2
44.8866,12,11,3
33.3226,12,11,4
27.3318,12,11,5
12.0464,12,11,6
6.31364,12,11,7
2.40222,12,11,8
4.23544,12,11,9
7.85479,12,11,10
17.1696,12,11,11
30.5207,12,11,12
34.1846,13,11,1
38.4992,13,11,2
42.3676,13,11,3
32.6801,13,11,4
24.8681,13,11,5
14.5121,13,11,6
6.17553,13,11,7
3.52814,13,11,8
4.97612,13,11,9
6.56501,13,11,10
16.0859,13,11,11
27.9745,13,11,12
28.4298,14,11,1
35.5908,14,11,2
38.2076,14,11,3
28.065,14,11,4
21.3081,14,11,5
11.1717,14,11,6
5.10061,14,11,7
2.76164,14,11,8
4.03154,14,11,9
4.86486,14,11,10
12.0572,14,11,11
23.5591,14,11,12
11.232,15,11,1
11.983,15,11,2
17.3697,15,11,3
12.7683,15,11,4
7.37194,15,11,5
5.68387,15,11,6
3.20647,15,11,7
1.6235,15,11,8
1.80907,15,11,9
1.92293,15,11,10
4.49933,15,11,11
8.37414,15,11,12
9.19359,16,11,1
11.1007,16,11,2
13.2093,16,11,3
9.8283,16,11,4
6.28954,16,11,5
3.57833,16,11,6
1.53291,16,11,7
0.988244,16,11,8
0.903302,16,11,9
2.37663,16,11,10
5.2275,16,11,11
8.38133,16,11,12
10.6638,17,11,1
12.092,17,11,2
16.7763,17,11,3
11.2517,17,11,4
5.98696,17,11,5
3.90658,17,11,6
2.55202,17,11,7
1.81675,17,11,8
2.02535,17,11,9
1.68881,17,11,10
4.35579,17,11,11
8.40266,17,11,12
8.15438,18,11,1
8.12031,18,11,2
11.3581,18,11,3
9.09764,18,11,4
5.24002,18,11,5
3.28885,18,11,6
1.7009,18,11,7
0.830181,18,11,8
1.24145,18,11,9
1.7436,18,11,10
4.65402,18,11,11
7.3211,18,11,12
17.2102,19,11,1
19.855,19,11,2
26.5402,19,11,3
18.7559,19,11,4
10.6965,19,11,5
7.21732,19,11,6
4.05512,19,11,7
2.44582,19,11,8
2.98338,19,11,9
3.55661,19,11,10
8.88329,19,11,11
15.0256,19,11,12
13.8572,20,11,1
16.0795,20,11,2
24.4936,20,11,3
17.8538,20,11,4
10.6297,20,11,5
6.04779,20,11,6
3.53917,20,11,7
1.89276,20,11,8
2.83423,20,11,9
3.10543,20,11,10
8.55383,20,11,11
11.7031,20,11,12
3.46329,21,11,1
3.8384,21,11,2
5.62728,21,11,3
3.70426,21,11,4
1.91443,21,11,5
1.32219,21,11,6
0.833465,21,11,7
0.631944,21,11,8
0.513131,21,11,9
0.452332,21,11,10
1.16756,21,11,11
2.57101,21,11,12
14.1074,22,11,1
15.1141,22,11,2
21.3361,22,11,3
16.0807,22,11,4
8.99035,22,11,5
5.52604,22,11,6
3.18232,22,11,7
1.87806,22,11,8
2.15218,22,11,9
2.96312,22,11,10
7.24939,22,11,11
12.4127,22,11,12
20.103,23,11,1
26.3081,23,11,2
27.123,23,11,3
20.1288,23,11,4
12.4213,23,11,5
7.82641,23,11,6
2.51169,23,11,7
1.61612,23,11,8
1.49048,23,11,9
4.02525,23,11,10
10.2752,23,11,11
18.3831,23,11,12
19.7516,24,11,1
25.1797,24,11,2
26.7418,24,11,3
21.5731,24,11,4
13.2588,24,11,5
7.37839,24,11,6
2.46601,24,11,7
2.0134,24,11,8
1.68122,24,11,9
4.13902,24,11,10
9.61453,24,11,11
15.7441,24,11,12
19.9973,25,11,1
24.9253,25,11,2
25.9078,25,11,3
20.7163,25,11,4
13.2118,25,11,5
7.55756,25,11,6
3.60218,25,11,7
2.13384,25,11,8
2.82275,25,11,9
6.02961,25,11,10
14.9643,25,11,11
18.4776,25,11,12
11.1331,26,11,1
14.7682,26,11,2
16.5108,26,11,3
12.6332,26,11,4
7.63125,26,11,5
3.92737,26,11,6
1.52535,26,11,7
1.11053,26,11,8
0.829689,26,11,9
2.08743,26,11,10
5.42914,26,11,11
9.09461,26,11,12
14.8161,27,11,1
16.078,27,11,2
21.6433,27,11,3
15.5454,27,11,4
8.67934,27,11,5
5.9859,27,11,6
3.53673,27,11,7
2.17683,27,11,8
2.27972,27,11,9
2.21381,27,11,10
5.33617,27,11,11
11.1289,27,11,12
8.65756,28,11,1
8.95643,28,11,2
11.8656,28,11,3
9.43605,28,11,4
5.26801,28,11,5
3.23823,28,11,6
1.7388,28,11,7
0.827884,28,11,8
0.970136,28,11,9
1.56311,28,11,10
3.74391,28,11,11
7.35117,28,11,12
17.2402,29,11,1
19.1101,29,11,2
20.1288,29,11,3
17.0803,29,11,4
11.3571,29,11,5
6.74326,29,11,6
3.75725,29,11,7
1.79101,29,11,8
2.10399,29,11,9
4.03661,29,11,10
9.45973,29,11,11
14.936,29,11,12
16.4768,30,11,1
19.4429,30,11,2
