"avg_mon_perc","subbasin","gcm_id","calendar_month"
24.7558,1,10,1
21.3718,1,10,2
18.5371,1,10,3
14.6706,1,10,4
7.32801,1,10,5
3.78891,1,10,6
0.45,1,10,7
0.828358,1,10,8
0.645482,1,10,9
1.15401,1,10,10
2.51177,1,10,11
10.7601,1,10,12
33.2974,2,10,1
31.1017,2,10,2
30.7778,2,10,3
20.1174,2,10,4
18.253,2,10,5
8.76841,2,10,6
2.30322,2,10,7
0.394009,2,10,8
0.459459,2,10,9
2.02772,2,10,10
1.97034,2,10,11
13.3537,2,10,12
32.1412,3,10,1
33.0365,3,10,2
34.5714,3,10,3
24.8566,3,10,4
20.2858,3,10,5
10.7633,3,10,6
3.98226,3,10,7
0.725965,3,10,8
0.425547,3,10,9
1.44739,3,10,10
2.74996,3,10,11
13.4693,3,10,12
46.7684,4,10,1
40.2348,4,10,2
41.6051,4,10,3
27.3871,4,10,4
24.1982,4,10,5
12.0693,4,10,6
3.61467,4,10,7
0.862889,4,10,8
1.07676,4,10,9
3.22015,4,10,10
6.28085,4,10,11
22.2894,4,10,12
7.95292,5,10,1
8.98015,5,10,2
9.63184,5,10,3
6.68847,5,10,4
3.02589,5,10,5
1.13015,5,10,6
0.0853187,5,10,7
0.0735243,5,10,8
0.112148,5,10,9
0.557661,5,10,10
0.631713,5,10,11
3.21843,5,10,12
38.2071,6,10,1
36.0865,6,10,2
37.6396,6,10,3
25.0488,6,10,4
21.2204,6,10,5
12.4926,6,10,6
2.72324,6,10,7
0.999539,6,10,8
1.73088,6,10,9
1.78005,6,10,10
3.40409,6,10,11
16.6225,6,10,12
12.1687,7,10,1
11.3515,7,10,2
10.9299,7,10,3
8.45836,7,10,4
4.35577,7,10,5
2.42519,7,10,6
0.201143,7,10,7
0.237773,7,10,8
0.347768,7,10,9
0.725327,7,10,10
1.36265,7,10,11
5.57185,7,10,12
22.2513,8,10,1
19.6658,8,10,2
17.9314,8,10,3
11.483,8,10,4
10.2036,8,10,5
6.15129,8,10,6
1.37443,8,10,7
0.138363,8,10,8
0.50009,8,10,9
0.553703,8,10,10
1.07288,8,10,11
7.944,8,10,12
40.2958,9,10,1
33.7284,9,10,2
37.4913,9,10,3
23.5912,9,10,4
21.9162,9,10,5
12.6278,9,10,6
2.28427,9,10,7
0.616171,9,10,8
1.39446,9,10,9
1.78045,9,10,10
2.71957,9,10,11
16.338,9,10,12
40.7026,10,10,1
37.4306,10,10,2
38.3164,10,10,3
26.2148,10,10,4
24.1452,10,10,5
14.5784,10,10,6
3.32679,10,10,7
0.682523,10,10,8
0.737934,10,10,9
2.19075,10,10,10
3.0014,10,10,11
18.5358,10,10,12
32.5809,11,10,1
30.4544,11,10,2
31.2444,11,10,3
21.2241,11,10,4
17.4014,11,10,5
10.9791,11,10,6
2.41626,11,10,7
0.876065,11,10,8
2.05928,11,10,9
2.28309,11,10,10
3.53473,11,10,11
16.8374,11,10,12
38.859,12,10,1
34.8758,12,10,2
36.0745,12,10,3
23.1684,12,10,4
21.5263,12,10,5
10.3211,12,10,6
2.61299,12,10,7
0.873807,12,10,8
0.857796,12,10,9
2.27009,12,10,10
3.02816,12,10,11
16.4815,12,10,12
37.8267,13,10,1
35.5876,13,10,2
36.1737,13,10,3
23.9966,13,10,4
21.1137,13,10,5
12.3676,13,10,6
2.88249,13,10,7
1.00938,13,10,8
1.52689,13,10,9
2.23596,13,10,10
3.84502,13,10,11
18.3242,13,10,12
34.4701,14,10,1
33.382,14,10,2
33.6559,14,10,3
