"","OBJECTID","HUC12","NameHUC12","HUC10","NameHUC10","HUC8","NameHUC8","subbasin","id"
"1","1","051201120104","Jordan Slough","0512011201","East Branch Embarras River","05120112","Embarras",1,1
"2","2","051201111302","Hutson Creek","0512011113","Raccoon River-Wabash River","05120111","Middle Wabash-Busseron",2,2
"3","3","051201111401","Town of Palestine-Lamotte Creek","0512011114","Lamotte Creek","05120111","Middle Wabash-Busseron",3,3
"4","4","051201111402","Minnow Slough","0512011114","Lamotte Creek","05120111","Middle Wabash-Busseron",4,4
"5","5","051201120101","Town of Savoy-Embarras River","0512011201","East Branch Embarras River","05120112","Embarras",5,5
"6","6","051201111002","East MIll Creek-Mill Creek","0512011110","Mill Creek","05120111","Middle Wabash-Busseron",6,6
"7","7","051201120102","Black Slough-East Branch Embarras River","0512011201","East Branch Embarras River","05120112","Embarras",7,7
"8","8","051201110901","Mud Creek-Clear Creek","0512011109","Clear Creek-Wabash River","05120111","Middle Wabash-Busseron",8,8
"9","9","051201111003","Hurricane Creek-Mill Creek","0512011110","Mill Creek","05120111","Middle Wabash-Busseron",9,9
"10","10","051201111004","Joes Fork-Mill Creek","0512011110","Mill Creek","05120111","Middle Wabash-Busseron",10,10
"11","11","051201111102","Snyder Creek","0512011111","Prairie Creek-Wabash River","05120111","Middle Wabash-Busseron",11,11
"12","12","051201111301","Raccoon Creek","0512011113","Raccoon River-Wabash River","05120111","Middle Wabash-Busseron",12,12
"13","13","051201110804","Little Creek-Big Creek","0512011108","Big Creek","05120111","Middle Wabash-Busseron",13,13
"14","14","051201111001","Ennis Creek-Mill Creek","0512011110","Mill Creek","05120111","Middle Wabash-Busseron",14,14
"15","15","051201030401","Campbell Creek","0512010304","Pike Creek-Mississinewa River","05120103","Mississinewa",15,15
"16","16","051201120103","Town of Villa Grove-Embarras River","0512011201","East Branch Embarras River","05120112","Embarras",16,16
"17","17","051201030502","Lake Branch-Mississinewa River","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",17,17
"18","18","051201030503","Barren Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",18,18
"19","19","051201030404","Holdren Ditch-Mississinewa River","0512010304","Pike Creek-Mississinewa River","05120103","Mississinewa",19,19
"20","20","051201030504","Back Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",20,20
"21","21","051201030505","Little Walnut Creek-Walnut Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",21,21
"22","22","051201030501","Hoppas Ditch-Mississinewa River","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",22,22
"23","23","051201120105","Long Point Slough-Jordan Slough","0512011201","East Branch Embarras River","05120112","Embarras",23,23
"24","24","051201120106","Spring Lake-Embarras River","0512011201","East Branch Embarras River","05120112","Embarras",24,24
"25","25","051201120201","Hayes Branch","0512011202","Scattering Fork","05120112","Embarras",25,25
"26","26","051201120202","Hackett Branch","0512011202","Scattering Fork","05120112","Embarras",26,26
"27","27","051201030402","Rees Ditch-Mississinewa River","0512010304","Pike Creek-Mississinewa River","05120103","Mississinewa",27,27
"28","28","051201030403","Studebaker Ditch-Pike Creek","0512010304","Pike Creek-Mississinewa River","05120103","Mississinewa",28,28
"29","29","051201120203","Town of Arcola","0512011202","Scattering Fork","05120112","Embarras",29,29
"30","30","051201120204","Town of Tuscola-Scattering Fork","0512011202","Scattering Fork","05120112","Embarras",30,30
"31","31","051201030602","Metocinah Creek","0512010306","Mississinewa River","05120103","Mississinewa",31,31
"32","32","051201030603","Grant Creek-Mississinewa River","0512010306","Mississinewa River","05120103","Mississinewa",32,32
"33","33","051201120303","Pope Branch-Brushy Fork","0512011203","Brushy Fork","05120112","Embarras",33,33
"34","34","051201120301","Clark Branch-Brushy Fork","0512011203","Brushy Fork","05120112","Embarras",34,34
"35","35","051201120302","McCown Branch","0512011203","Brushy Fork","05120112","Embarras",35,35
"36","36","051201120304","Town of Murdock","0512011203","Brushy Fork","05120112","Embarras",36,36
"37","37","051201030508","Deer Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",37,37
"38","38","051201030604","Forked Branch-Mississinewa River","0512010306","Mississinewa River","05120103","Mississinewa",38,38
"39","39","051201030506","Walnut Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",39,39
"40","40","051201030507","Little Deer Creek-Deer Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",40,40
"41","41","051201030509","Lugar Creek","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",41,41
"42","42","051201030510","Branch Creek-Mississinewa River","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",42,42
"43","43","051201030511","Boots Creek-Mississinewa River","0512010305","Massey Creek-Mississinewa River","05120103","Mississinewa",43,43
"44","44","051201030601","Hummel Creek-Mississinewa River","0512010306","Mississinewa River","05120103","Mississinewa",44,44
"45","45","051201130803","Rush Creek-Wabash River","0512011308","Fox River-Wabash River","05120113","Lower Wabash",45,45
"46","46","051201030605","Mississinewa Lake-Mississinewa River","0512010306","Mississinewa River","05120103","Mississinewa",46,46
"47","47","051201130804","Brushy Slough-Wabash River","0512011308","Fox River-Wabash River","05120113","Lower Wabash",47,47
"48","48","051201130805","Wabash Ditch-Wabash River","0512011308","Fox River-Wabash River","05120113","Lower Wabash",48,48
"49","49","051201130901","Pitcher Creek-Wabash River","0512011309","Levy Slough-Wabash River","05120113","Lower Wabash",49,49
"50","50","051201130902","Sandy Slough-Wabash River","0512011309","Levy Slough-Wabash River","05120113","Lower Wabash",50,50
"51","51","051201130903","Grassy Slough-Levy Slough","0512011309","Levy Slough-Wabash River","05120113","Lower Wabash",51,51
"52","52","051201130904","Willow Pond Slough-Wabash River","0512011309","Levy Slough-Wabash River","05120113","Lower Wabash",52,52
"53","53","051201110803","East Little Creek-Big Creek","0512011108","Big Creek","05120111","Middle Wabash-Busseron",53,53
"54","54","051201121101","Onion Creek-Big Creek","0512011211","Big Creek","05120112","Embarras",54,54
"55","55","051201121104","Freeport Creek","0512011211","Big Creek","05120112","Embarras",55,55
"56","56","051201121007","Willow Creek","0512011210","North Fork Embarras River","05120112","Embarras",56,56
"57","57","051201121008","Muddy Creek","0512011210","North Fork Embarras River","05120112","Embarras",57,57
"58","58","051201121009","No Business Creek-Willow Creek","0512011210","North Fork Embarras River","05120112","Embarras",58,58
"59","59","051201121010","Sam Branch-North Fork Embarras River","0512011210","North Fork Embarras River","05120112","Embarras",59,59
"60","60","051201121011","Hickory Creek-North Fork Embarras River","0512011210","North Fork Embarras River","05120112","Embarras",60,60
"61","61","051201121102","Dogwood Creek","0512011211","Big Creek","05120112","Embarras",61,61
"62","62","051201121103","Little Creek","0512011211","Big Creek","05120112","Embarras",62,62
"63","63","051201040402","Hurricane Creek-Eel River","0512010404","Clear Creek-Eel River","05120104","Eel",63,63
"64","64","051201040403","Plunge Creek-Eel River","0512010404","Clear Creek-Eel River","05120104","Eel",64,64
"65","65","051201040404","Simonton Creek-Eel River","0512010404","Clear Creek-Eel River","05120104","Eel",65,65
"66","66","051201040405","Pony Creek","0512010404","Clear Creek-Eel River","05120104","Eel",66,66
"67","67","051201040407","Swank Creek-Eel River","0512010404","Clear Creek-Eel River","05120104","Eel",67,67
"68","68","051201040501","Silver Creek","0512010405","Paw Paw Creek-Eel River","05120104","Eel",68,68
"69","69","051201040502","Otter Creek-Eel River","0512010405","Paw Paw Creek-Eel River","05120104","Eel",69,69
"70","70","051201040301","Black Lake-Spring Creek","0512010403","Sugar Creek-Eel River","05120104","Eel",70,70
"71","71","051201040303","Headwaters Sugar Creek","0512010403","Sugar Creek-Eel River","05120104","Eel",71,71
"72","72","051201040304","County Farm Ditch-Eel River","0512010403","Sugar Creek-Eel River","05120104","Eel",72,72
"73","73","051201040401","Mishler Ditch-Eel River","0512010404","Clear Creek-Eel River","05120104","Eel",73,73
"74","74","051201040406","Nelson Ditch-Clear Creek","0512010404","Clear Creek-Eel River","05120104","Eel",74,74
"75","75","051201120804","Hurricane Creek","0512011208","Range Creek-Embarras River","05120112","Embarras",75,75
"76","76","051201120703","Spring Point Creek","0512011207","Muddy Creek","05120112","Embarras",76,76
"77","77","051201120704","Cottonwood Creek","0512011207","Muddy Creek","05120112","Embarras",77,77
"78","78","051201120705","Island Creek","0512011207","Muddy Creek","05120112","Embarras",78,78
