state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
IN  ,P1,PA1,PA1;0,INPA1;0,0,,Raccoon Creek Group,Pennsylvanian,"Raccoon Creek Group - Mostly shale and sandstone; also includes thin beds of limestone, clay, and coal. B, Buffaloville Coal Member; LB, Lower Block Coal Member",,,IN001,shale,sandstone,limestone; clay or mud; coal,IN001 ,
IN  ,P4,PA4,PA4;0,INPA4;0,0,,Bond Formation,Pennsylvanian,Bond Formation - Mostly shale and sandstone; also includes thin beds of limestone and coal,,,IN001,shale,sandstone,limestone; coal,IN001 ,
IN  ,M,M,M;0,INM;0,0,,Coldwater Shale,Mississippian,Coldwater Shale - Mostly gray shale,,,IN001,shale,,,IN001 ,
IN  ,Dm,Dm,Dm;0,INDm;0,0,,New Albany Shale,Devonian-Mississippian,New Albany Shale - Black and greenish-gray shale,,,IN001,black shale,shale,,IN001 ,
IN  ,D2,D2,D2;0,IND2;0,0,,Antrim Shale,Devonian,Antrim Shale - Black shale; gray shale and limestone in lower part,,,IN001,black shale,shale,limestone,IN001 ,
IN  ,Ob,Ob,Ob;0,INOb;0,0,,Trenton Limestone,Ordovician,"Trenton Limestone - Dolomite in northwestern Indiana,",,shown in cross-section only,IN001,dolostone (dolomite),,,IN001 ,
IN  ,Oc,Oc,Oc;0,INOc;0,0,,Maquoketa Group,Ordovician,Maquoketa Group - Shale and limestone,,shown in cross-section only,IN001,shale,limestone,,IN001 ,
IN  ,,pC,pC;0,INpC;0,0,,Precambrian rocks,Precambrian,Precambrian rocks - Dominantly granite; includes some metasedimentary and basaltic rocks ,,shown in cross-section only,IN001,granite,,,IN001 ,
IN  ,Sa,Sa,Sa;0,INSa;0,0,,Bainbridge Group and Sexton Creek Limestone,Silurian,"Bainbridge Group and Sexton Creek Limestone - Limestone and dolomite, in part cherty and argillaceous, shown in cross-section only",,shown in cross-section only,IN001,limestone,dolostone (dolomite),,IN001 ,
IN  ,,CAb,CAb;0,INCAb;0,0,,Munising Group,Cambrian,"Munising Group - Shale, sandstone, limestone, and dolomite ",,"shown in cross-section only Secondary unit description from USGS Geologic Names lexicon (ref, IN002): Munising extended to IN as Group within Potsdam Supergroup. In northwest IN, consists of the Franconia Formation (top), the Ironton Sandstone, the Galesville Sandstone, and the Eau Claire Formation. Unit includes only the Eau Claire in southwest IN, and only the Davis Formation (top) and the Eau Claire throughout most of the state. Underlies Potosi Dolomite and overlies Mount Simon Sandstone. ",IN001,sandstone,shale,limestone; dolostone (dolomite),IN001 IN002 ,
